type,date,time,value
daily,24/11/2022,10:24:00,20
weekly,24/11/2022,17:15:00,100
daily,25/11/2022,11:48:00,20
montly,26/11/2022,10:00:00,200
daily,26/11/2022,12:12:00,20
daily,27/11/2022,13:36:00,20
daily,28/11/2022,14:00:00,20
daily,29/11/2022,15:24:00,20
daily,30/11/2022,16:48:00,20
daily,1/12/2022,17:12:00,20
daily,2/12/2022,18:36:00,20
weekly,2/12/2022,19:45:00,100
daily,3/12/2022,19:00:00,20
daily,4/12/2022,20:24:00,20
daily,5/12/2022,21:48:00,20
daily,6/12/2022,22:12:00,20
daily,7/12/2022,23:36:00,20
daily,8/12/2022,7:00:00,20
daily,9/12/2022,8:24:00,20
daily,10/12/2022,9:48:00,20
weekly,10/12/2022,21:15:00,100
daily,11/12/2022,10:12:00,20
daily,12/12/2022,11:36:00,20
daily,13/12/2022,12:00:00,20
daily,14/12/2022,13:24:00,20
daily,15/12/2022,14:48:00,20
daily,16/12/2022,15:12:00,20
daily,17/12/2022,16:36:00,20
weekly,18/12/2022,9:45:00,100
daily,18/12/2022,17:00:00,20
weekly,19/12/2022,11:15:00,100
daily,19/12/2022,18:24:00,20
daily,20/12/2022,19:48:00,20
daily,21/12/2022,20:12:00,20
daily,22/12/2022,21:36:00,20
daily,23/12/2022,22:00:00,20
daily,24/12/2022,23:24:00,20
daily,25/12/2022,7:48:00,20
daily,26/12/2022,8:12:00,20
daily,27/12/2022,9:36:00,20
weekly,27/12/2022,13:45:00,100
daily,28/12/2022,10:00:00,20
daily,29/12/2022,11:24:00,20
daily,30/12/2022,12:48:00,20
montly,31/12/2022,11:00:00,200
daily,31/12/2022,13:12:00,20
